Amplitude A,Amplitude B,Amplitude C,Ration A/B,Ratio A/C,Ratio B/A,Ratio B/C,Ratio C/A,Ratio C/B,STD Abw. A,STD Abw. B,STD Abw. C,SW OK A,SW OK B,SW OK C,Schwelle A,Schwelle B,Schwelle C
6.73438,1.63281,1.15625,2.27344,4.07031,0.4375,1.78906,0.24219,0.55469,3.85938,1.63281,0.875,76.38281,74.41406,99.88281,5.7,1.65,1.975
6.73438,1.63281,1.15625,2.29688,4.09375,0.42969,1.78125,0.24219,0.55469,3.85938,1.63281,0.875,75.75781,74.38281,99.88281,5.7,1.65,1.975
7.83594,2.11719,1.23438,2.29688,4.09375,0.42969,1.78125,0.24219,0.55469,3.88281,1.61719,0.875,75.75781,74.38281,99.88281,5.7,1.65,1.975
7.83594,2.11719,1.23438,2.33594,4.11719,0.42188,1.75781,0.24219,0.5625,3.88281,1.61719,0.875,75.00781,74.16406,99.88281,5.7,1.65,1.975
3.46094,1.63281,1.33594,2.33594,4.11719,0.42188,1.75781,0.24219,0.5625,3.89063,1.61719,0.88281,75.00781,74.16406,99.88281,5.7,1.65,1.975
3.46094,1.63281,1.33594,2.34375,4.10938,0.42188,1.75,0.24219,0.57031,3.89063,1.61719,0.88281,74.41406,74.375,99.88281,5.7,1.65,1.975
5.625,2.67188,1.30469,2.34375,4.10938,0.42188,1.75,0.24219,0.57031,3.90625,1.625,0.88281,74.41406,74.375,99.88281,5.7,1.65,1.975
5.625,2.67188,1.30469,2.32813,4.125,0.42188,1.76563,0.24219,0.5625,3.90625,1.625,0.88281,74.07813,76.09375,99.88281,5.7,1.65,1.975
6.19531,2.60938,1.25,2.32813,4.125,0.42188,1.76563,0.24219,0.5625,3.9375,1.625,0.89063,74.07813,76.09375,99.88281,5.7,1.65,1.975
6.19531,2.60938,1.25,2.34375,4.14063,0.42188,1.75781,0.23438,0.5625,3.9375,1.625,0.89063,72.92188,76.86719,99.88281,5.7,1.65,1.975
5.82813,1.03906,1.3125,2.34375,4.14063,0.42188,1.75781,0.23438,0.5625,3.94531,1.625,0.89063,72.92188,76.86719,99.88281,5.7,1.65,1.975
5.82813,1.03906,1.3125,2.375,4.13281,0.41406,1.73438,0.23438,0.57031,3.94531,1.625,0.89063,72.27344,76,99.88281,5.7,1.65,1.975
3.95313,1.92188,1.0625,2.375,4.13281,0.41406,1.73438,0.23438,0.57031,3.95313,1.625,0.89063,72.27344,76,99.88281,5.7,1.65,1.975
3.95313,1.92188,1.0625,2.35156,4.14063,0.42188,1.75781,0.23438,0.5625,3.95313,1.625,0.89063,72.27344,76.21875,99.88281,5.7,1.65,1.975
4.58594,1.41406,1.10938,2.35156,4.14063,0.42188,1.75781,0.23438,0.5625,3.91406,1.63281,0.89063,72.27344,76.21875,99.88281,5.7,1.65,1.975
4.58594,1.41406,1.10938,2.35938,4.14844,0.42188,1.75781,0.23438,0.5625,3.91406,1.63281,0.89063,72.98438,76.30469,99.88281,5.7,1.65,1.975
5.57031,1.77344,1.59375,2.35938,4.14844,0.42188,1.75781,0.23438,0.5625,3.91406,1.625,0.89063,72.98438,76.30469,99.88281,5.7,1.65,1.975
5.57031,1.77344,1.59375,2.33594,4.10156,0.42188,1.75,0.24219,0.57031,3.91406,1.625,0.89063,74.07031,77.1875,99.88281,5.7,1.65,1.975
4.70313,1.92188,1.32031,2.33594,4.10156,0.42188,1.75,0.24219,0.57031,3.875,1.60156,0.89844,74.07031,77.1875,99.88281,5.7,1.65,1.975
4.70313,1.92188,1.32031,2.35156,4.05469,0.42188,1.71875,0.24219,0.57813,3.875,1.60156,0.89844,75.11719,77.08594,99.88281,5.7,1.65,1.975
